FIPS,Population,< 18,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,Household Income,% Free Lunch
48305,5888,27.2,2.3,1.8,0.3,0.0,46.6,50,36530.0,48.0
48307,8290,24.6,2.0,1.0,0.5,0.0,30.8,66,35775.0,54.0
48309,238564,25.1,14.3,1.1,1.6,0.1,24.2,58,40563.0,54.0
48311,690,17.0,1.9,0.0,0.7,0.0,36.2,61,46528.0,35.0
48313,13747,21.6,19.7,1.0,0.7,0.0,20.6,58,35218.0,62.0
48315,10507,18.9,21.8,1.0,0.5,0.0,3.8,71,31922.0,32.0
48317,4934,30.1,1.7,0.8,0.4,0.1,44.4,52,46680.0,29.0
48319,3984,20.4,0.5,0.5,0.2,0.3,22.0,77,39080.0,49.0
48321,36809,26.0,11.0,1.2,2.1,0.1,39.2,47,40778.0,58.0
48323,55405,33.1,0.2,1.3,0.5,0.0,95.2,3,28502.0,1.0
48325,46367,25.2,2.2,1.0,0.8,0.1,50.1,46,47191.0,42.0
48327,2264,18.8,0.8,1.5,0.3,0.0,35.4,63,30349.0,66.0
48329,140308,27.4,6.3,1.1,1.4,0.1,38.8,52,54996.0,43.0
48331,24699,26.5,9.6,1.2,0.5,0.0,24.3,64,38244.0,58.0
