FIPS,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,# not proficient in English,% not proficient in English,Female,Rural,% diabetic,95% CI - Low,95% CI - High,HIV Cases,HIV Rate,Total deaths,Age-adjusted Mortality,95% CI - Low,95% CI - high,Total deaths,Mortality rate,95% CI - Low,95% CI - High,Total deaths,Mortality rate,95% CI - Low,95% CI - High,# MPH,MPH Rate,MPH Ratio,Costs,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Sample Size,% Couldn’t Access,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free Lunch,Homicide Rate,95% CI - Low,95% CI - High,# Drive Alone,Workers,% Drive Alone,% park access,,
1103,119953,23.8,14.3,12.1,1.1,0.6,0.1,7.8,77,3547,3.2,50.8,38.6,11,9,14,110,114,1718,440.1,419.0,461.2,87,76.3,61.1,94.1,59,817.4,622.2,1054.4,18,0,6644:1,10320,16988,23,21,26,2354,8,6,10,517,18,43615,41150,46080,10952,46129,24,37,4,3,6,44224,52229,85,13,:null,
1105,10373,24.2,16.2,67.6,0.2,0.3,0.0,1.3,30,35,0.4,53.0,100.0,20,16,24,24,275,200,589.7,504.6,674.8,null,null,null,null,10,1404.5,673.5,2582.9,null,null,,8757,1254,22,19,25,158,6,4,8,236,22,22175,19557,24793,1168,3690,32,97,null,null,null,2557,3210,80,null,:null,
1107,19349,23.0,17.2,41.2,0.2,0.2,0.4,1.7,56,176,0.9,52.4,100.0,16,13,19,25,153,342,502.0,446.9,557.1,26,136.9,89.4,200.6,23,1726.7,1094.6,2590.9,null,null,,10206,2508,22,19,24,343,7,5,9,273,15,31079,27482,34676,2232,7852,28,68,null,null,null,5882,6861,86,8,:null,
1109,32915,20.0,13.1,36.6,0.6,1.8,0.1,2.4,57,207,0.7,52.3,51.7,15,13,19,90,353,483,504.6,458.5,550.7,22,82.0,51.4,124.1,15,776.8,434.8,1281.2,1,0,32970:1,10260,4378,22,19,24,441,6,4,8,345,15,32345,29980,34710,4281,12967,33,62,7,4,11,11414,13853,82,15,:null,
1111,22787,23.5,17.2,20.3,0.4,0.3,0.0,2.9,75,365,1.7,51.4,81.3,15,12,18,12,61,409,511.2,459.9,562.5,17,77.8,45.4,124.6,12,890.9,460.3,1556.2,1,0,22929:1,9729,3086,23,20,26,349,6,4,8,302,17,34517,30598,38436,2462,8949,28,58,9,5,16,6936,8840,78,null,:null,
1113,54572,24.8,12.6,41.2,0.5,0.6,0.2,4.1,52,286,0.6,51.9,35.4,13,11,17,146,347,970,597.3,559.3,635.3,52,96.9,72.3,127.0,44,1101.7,800.5,1478.9,null,null,,9492,7368,23,20,25,744,5,3,7,287,16,32632,29602,35662,7399,20453,36,62,14,10,18,17088,21421,80,4,:null,
1115,84398,23.6,13.6,8.9,0.4,0.7,0.1,2.2,87,576,0.7,50.0,72.8,13,11,16,55,81,1259,460.2,434.5,485.8,57,72.8,55.2,94.4,43,760.5,550.4,1024.4,1,0,83835:1,10393,9585,19,17,21,1320,6,4,8,528,20,48040,43027,53053,8030,30588,26,42,5,4,8,29416,34774,85,null,:null,
1117,197936,25.3,11.1,11.2,0.4,2.0,0.1,6.0,80,3402,1.9,51.1,22.9,8,7,10,117,75,1772,308.2,293.7,322.7,99,50.6,41.2,61.7,75,616.6,485.0,772.9,44,0,4451:1,10353,18671,15,14,17,2660,5,4,7,1292,11,66362,63469,69255,18550,72694,26,23,3,2,5,79509,94368,84,7,:null,
1119,13478,21.3,15.3,73.2,0.1,0.3,0.0,0.9,25,3,0.0,54.7,100.0,19,15,22,29,270,220,520.4,449.7,591.2,null,null,null,null,null,null,null,null,null,null,,9891,1900,23,20,27,222,7,5,9,281,17,23531,20782,26280,1820,5036,36,86,null,null,null,3864,4706,82,17,:null,
1121,81664,23.1,14.4,31.8,0.4,0.4,0.0,2.1,64,358,0.5,51.4,55.8,15,12,17,131,197,1460,533.5,505.7,561.3,84,107.2,85.5,132.7,66,1299.7,1005.2,1653.6,1,0,82027:1,10760,10105,21,18,23,998,5,3,7,923,17,33856,30820,36892,9281,31597,29,63,9,7,12,25928,30856,84,18,:null,
1123,41623,22.0,17.9,26.5,0.4,0.5,0.0,2.7,69,340,0.9,51.6,74.2,14,12,17,48,140,696,459.1,423.9,494.3,39,104.1,74.0,142.3,30,1183.0,798.1,1688.8,2,0,20767:1,10233,5289,21,19,24,654,7,5,9,510,17,37686,34562,40810,4456,16404,27,54,8,5,12,14054,17305,81,3,:null,
